2013-03-07 10:24:06 545ms | Event (core/after_page_processed) triggered.
2013-03-07 10:24:21 604ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:24:21 832ms | Event (core/after_page_processed) triggered.
2013-03-07 10:24:46 705ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:24:46 905ms | Event (core/after_page_processed) triggered.
2013-03-07 10:25:07 987ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:25:08 225ms | Event (core/after_page_processed) triggered.
2013-03-07 10:25:22 681ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:25:22 881ms | Event (core/after_page_processed) triggered.
2013-03-07 10:25:45 10ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:25:45 209ms | Event (core/after_page_processed) triggered.
2013-03-07 10:26:02 737ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:26:02 921ms | Event (core/after_page_processed) triggered.
2013-03-07 10:26:19 985ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:26:20 194ms | Event (core/after_page_processed) triggered.
2013-03-07 10:26:31 882ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:26:32 148ms | Event (core/after_page_processed) triggered.
2013-03-07 10:27:33 483ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:27:33 753ms | Event (core/after_page_processed) triggered.
2013-03-07 10:27:53 608ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:27:53 812ms | Event (core/after_page_processed) triggered.
2013-03-07 10:28:13 962ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:28:14 173ms | Event (core/after_page_processed) triggered.
2013-03-07 10:28:51 521ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:28:51 739ms | Event (core/after_page_processed) triggered.
2013-03-07 10:29:06 990ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:29:07 223ms | Event (core/after_page_processed) triggered.
2013-03-07 10:29:23 806ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:29:23 991ms | Event (core/after_page_processed) triggered.
2013-03-07 10:29:33 227ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:29:33 455ms | Event (core/after_page_processed) triggered.
2013-03-07 10:29:46 536ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:29:46 703ms | Event (core/after_page_processed) triggered.
2013-03-07 10:31:28 592ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:31:28 802ms | Event (core/after_page_processed) triggered.
2013-03-07 10:31:40 357ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:31:40 597ms | Event (core/after_page_processed) triggered.
2013-03-07 10:31:58 788ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:31:58 998ms | Event (core/after_page_processed) triggered.
2013-03-07 10:32:26 613ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:32:26 818ms | Event (core/after_page_processed) triggered.
2013-03-07 10:32:34 858ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:32:35 64ms | Event (core/after_page_processed) triggered.
2013-03-07 10:33:28 687ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:33:28 893ms | Event (core/after_page_processed) triggered.
2013-03-07 10:33:46 397ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 10:33:46 614ms | Event (core/after_page_processed) triggered.
